example_id                                           | status | run_time        |
---------------------------------------------------- | ------ | --------------- |
./spec/task_flow/board/aggregate_spec.rb[1:1]        | passed | 0.01197 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:2]        | passed | 0.00185 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:3:1:1:1]  | passed | 0.02518 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:3:1:1:2]  | passed | 0.02662 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:3:2:1:1]  | passed | 0.02294 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:3:2:1:2]  | passed | 0.02485 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:3:2:1:3]  | passed | 0.03258 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:4:1:1:1]  | passed | 0.03262 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:4:1:1:2]  | passed | 0.03318 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:4:2:1:1]  | passed | 0.04664 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:4:2:1:2]  | passed | 0.03706 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:4:2:1:3]  | passed | 0.04205 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:5:1:1:1]  | passed | 0.05173 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:5:1:1:2]  | passed | 0.05374 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:5:2:1:1]  | passed | 0.02941 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:5:2:1:2]  | passed | 0.0322 seconds  |
./spec/task_flow/board/aggregate_spec.rb[1:5:2:1:3]  | passed | 0.0289 seconds  |
./spec/task_flow/board/aggregate_spec.rb[1:6:1:1:1]  | passed | 0.04547 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:6:1:1:2]  | passed | 0.04053 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:6:2:1:1]  | passed | 0.0424 seconds  |
./spec/task_flow/board/aggregate_spec.rb[1:6:2:1:2]  | passed | 0.04346 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:6:2:1:3]  | passed | 0.05001 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:7:1:1:1]  | passed | 0.06641 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:7:1:1:2]  | passed | 0.05438 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:7:2:1:1]  | passed | 0.02282 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:7:2:1:2]  | passed | 0.02627 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:7:2:1:3]  | passed | 0.02608 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:8:1:1]    | passed | 0.03631 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:8:1:2:1]  | passed | 0.02654 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:8:1:2:2]  | passed | 0.03999 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:8:2:1:1]  | passed | 0.04411 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:8:2:1:2]  | passed | 0.03971 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:8:2:1:3]  | passed | 0.04228 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:8:3:1:1]  | passed | 0.04418 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:8:3:1:2]  | passed | 0.05225 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:8:3:1:3]  | passed | 0.04195 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:9:1:1]    | passed | 0.03883 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:9:1:2:1]  | passed | 0.03825 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:9:1:2:2]  | passed | 0.04257 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:9:2:1:1]  | passed | 0.02531 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:9:2:1:2]  | passed | 0.02434 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:9:2:1:3]  | passed | 0.02171 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:9:3:1:1]  | passed | 0.02572 seconds |
./spec/task_flow/board/aggregate_spec.rb[1:9:3:1:2]  | passed | 0.02565 seconds |
